"","id","type","price","netHabitableSurface","landSurface","bedrooms","gemeente","postalCode","street","number","lat","lon","url","category"
"229",1694669,"HOUSE",295000,102,100,4,"Antwerpen","2100","Albert bevernagelei","93",4.4479303358817,51.233759972668,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1694669",NA
"230",2031750,"HOUSE",360000,161,298,2,"Edegem","2650","Laureysstraat","60",4.4480254916476,51.161057891746,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2031750",NA
"231",1830094,"HOUSE",280000,175,305,4,"Antwerpen","2170","Komiteitstraat","15",4.4480963979429,51.244944332697,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1830094",NA
"232",1821028,"HOUSE",445000,125,145,3,"Antwerpen","2140","Karel van den oeverstraat","40",4.4485903014611,51.204473251359,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1821028",NA
"233",1704751,"HOUSE",321000,136,181.63141752034,3,"Antwerpen","2180","Baljuwlaan","15",4.4486927448631,51.278074843818,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1704751",NA
"234",1938153,"HOUSE",259000,77,90,3,"Antwerpen","2100","Tweemontstraat","196",4.4487938083063,51.234346951118,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1938153",NA
"235",2084027,"HOUSE",259000,206,212,2,"Kontich","2550","Mechelsesteenweg","258",4.4489992678321,51.124981259394,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2084027",NA
"236",2092673,"HOUSE",495000,384,341.50677912356,2,"Mortsel","2640","Antwerpsestraat","4",4.449277669087,51.171134581304,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2092673",NA
"237",1948583,"HOUSE",259000,152,68,3,"Antwerpen","2100","Van rossumstraat","38",4.4492936096476,51.229161377408,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1948583",NA
"238",1743710,"HOUSE",285000,160,75.09877171932,4,"Antwerpen","2100","De gryspeerstraat","116",4.4493982159973,51.227237793767,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1743710",NA
"239",1997329,"HOUSE",495000,185,753,3,"Brasschaat","2930","Charlottalei","7",4.4495637995889,51.298798953033,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1997329",NA
"240",2071291,"HOUSE",489000,180,699.95900850929,3,"Kapellen","2950","Kauwenlaan","8",4.4499576236509,51.300625158866,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2071291",NA
"241",1754851,"HOUSE",349000,485,205.87209579535,3,"Antwerpen","2170","Du chastellei","76",4.4507712906811,51.250881585337,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1754851",NA
"242",1943287,"HOUSE",235000,82,141,3,"Antwerpen","2100","Van deynsestraat","85",4.4509872576236,51.22923234778,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1943287",NA
"243",1754797,"HOUSE",450000,235,168.52278110321,3,"Antwerpen","2170","Du chastellei","67",4.4510447966993,51.250381122477,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1754797",NA
"244",2078327,"HOUSE",99900,230,452.2,3,"Kontich","2550","Bautersemstraat","20",4.4511755655664,51.136398077488,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2078327",NA
"245",1724630,"HOUSE",675000,280,354,8,"Antwerpen","2170","Bredabaan","646",4.4512094844998,51.247572704803,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1724630",NA
"246",1724469,"HOUSE",599000,250,333,8,"Antwerpen","2170","Bredabaan","648",4.4513320191985,51.247578448655,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1724469",NA
"247",2103293,"HOUSE",525000,265,154,3,"Mortsel","2640","Statielei","16",4.4514830335107,51.170353623216,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2103293",NA
"248",1943389,"HOUSE",195000,126,97,2,"Antwerpen","2100","Van deynsestraat","122",4.4516485954708,51.230087747485,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1943389",NA
"249",2030370,"HOUSE",299000,120,250.07912948878,2,"Edegem","2650","Herfstlei","61",4.4522789250326,51.153456620539,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2030370",NA
"250",1820814,"HOUSE",315000,226.43,100,3,"Antwerpen","2180","Karel seclefstraat","1",4.4524495486333,51.277019258657,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1820814",NA
